date,place,rating
2017-09-01,10,7033
2017-09-01,20,6398
2017-09-01,50,5601
2017-09-01,100,5060
2017-09-07,1,10117
2017-09-07,10,7035
2017-09-07,20,6420
2017-09-07,50,5596
2017-09-07,100,5068
2017-09-14,1,10071
2017-09-14,10,7035
2017-09-14,20,6398
2017-09-14,50,5577
2017-09-14,100,5054
2017-09-21,1,10144
2017-09-21,10,6911
2017-09-21,20,6571
2017-09-21,50,5595
2017-09-21,100,5029
2017-09-28,1,10214
2017-09-28,10,6833
2017-09-28,20,6571
2017-09-28,50,5615
2017-09-28,100,5051
2017-10-05,1,10059
2017-10-05,10,7004
2017-10-05,20,6571
2017-10-05,50,5620
2017-10-05,100,5042
2017-10-12,1,9980
2017-10-12,10,7004
2017-10-12,20,6547
2017-10-12,50,5691
2017-10-12,100,5043
2017-10-19,1,9938
2017-10-19,10,7031
2017-10-19,20,6571
2017-10-19,50,5685
2017-10-19,100,5046
2017-10-26,1,9938
2017-10-26,10,7004
2017-10-26,20,6552
2017-10-26,50,5706
2017-10-26,100,5074
2017-11-02,1,9938
2017-11-02,10,7004
2017-11-02,20,6522
2017-11-02,50,5706
2017-11-02,100,5083
2017-11-09,1,10363
2017-11-09,10,7096
2017-11-09,20,6674
2017-11-09,50,5785
2017-11-09,100,5105
2017-11-16,1,10363
2017-11-16,10,7091
2017-11-16,20,6669
2017-11-16,50,5786
2017-11-16,100,5139
2017-11-23,1,10348
2017-11-23,10,7006
2017-11-23,20,6735
2017-11-23,50,5765
2017-11-23,100,5170
2017-11-30,1,10348
2017-11-30,10,6995
2017-11-30,20,6785
2017-11-30,50,5795
2017-11-30,100,5158
2017-12-07,1,10259
2017-12-07,10,7019
2017-12-07,20,6785
2017-12-07,50,5801
2017-12-07,100,5100
2017-12-14,1,10165
2017-12-14,10,7055
2017-12-14,20,6726
2017-12-14,50,5811
2017-12-14,100,5132
2017-12-21,1,10165
2017-12-21,10,7089
2017-12-21,20,6743
2017-12-21,50,5808
2017-12-21,100,5132
2017-12-28,1,10062
2017-12-28,10,7104
2017-12-28,20,6733
2017-12-28,50,5851
2017-12-28,100,5184
2018-01-04,1,10062
2018-01-04,10,7104
2018-01-04,20,6704
2018-01-04,50,5873
2018-01-04,100,5184
2018-01-11,1,10062
2018-01-11,10,7104
2018-01-11,20,6704
2018-01-11,50,5881
2018-01-11,100,5198
2018-01-18,1,10062
2018-01-18,10,7061
2018-01-18,20,6704
2018-01-18,50,5862
2018-01-18,100,5193
2018-01-25,1,10045
2018-01-25,10,7093
2018-01-25,20,6768
2018-01-25,50,5816
2018-01-25,100,5190
2018-02-01,1,10045
2018-02-01,10,7154
2018-02-01,20,6683
2018-02-01,50,5816
2018-02-01,100,5192
2018-02-08,1,9956
2018-02-08,10,7187
2018-02-08,20,6824
2018-02-08,50,5837
2018-02-08,100,5215
2018-02-15,1,10081
2018-02-15,10,7257
2018-02-15,20,6836
2018-02-15,50,5875
2018-02-15,100,5259
2018-02-22,1,10081
2018-02-22,10,7251
2018-02-22,20,6838
2018-02-22,50,5899
2018-02-22,100,5243
2018-03-01,1,10008
2018-03-01,10,7196
2018-03-01,20,6836
2018-03-01,50,5846
2018-03-01,100,5227
2018-03-08,1,10008
2018-03-08,10,7143
2018-03-08,20,6788
2018-03-08,50,5846
2018-03-08,100,5268
2018-03-15,1,10294
2018-03-15,10,7196
2018-03-15,20,6840
2018-03-15,50,5881
2018-03-15,100,5315
2018-03-22,1,10204
2018-03-22,10,7196
2018-03-22,20,6840
2018-03-22,50,5945
2018-03-22,100,5312
2018-03-29,1,10204
2018-03-29,10,7196
2018-03-29,20,6840
2018-03-29,50,5902
2018-03-29,100,5326
2018-04-05,1,10128
2018-04-05,10,7263
2018-04-05,20,6840
2018-04-05,50,5960
2018-04-05,100,5342
2018-04-12,1,10128
2018-04-12,10,7319
2018-04-12,20,6840
2018-04-12,50,5942
2018-04-12,100,5341
2018-04-19,1,10171
2018-04-19,10,7253
2018-04-19,20,6840
2018-04-19,50,5949
2018-04-19,100,5336
2018-04-26,1,10015
2018-04-26,10,7253
2018-04-26,20,6845
2018-04-26,50,5978
2018-04-26,100,5336
2018-05-02,1,10070
2018-05-02,10,7244
2018-05-02,20,6885
2018-05-02,50,6002
2018-05-02,100,5354
2018-05-10,1,10070
2018-05-10,10,7236
2018-05-10,20,6885
2018-05-10,50,6046
2018-05-10,100,5354
2018-05-17,1,10070
2018-05-17,10,7201
2018-05-17,20,6885
2018-05-17,50,6018
2018-05-17,100,5350
2018-05-24,1,10073
2018-05-24,10,7234
2018-05-24,20,6885
2018-05-24,50,6046
2018-05-24,100,5373
2018-05-31,1,10066
2018-05-31,10,7224
2018-05-31,20,6996
2018-05-31,50,6001
2018-05-31,100,5377
2018-06-07,1,10038
2018-06-07,10,7196
2018-06-07,20,6964
2018-06-07,50,6017
2018-06-07,100,5378
2018-06-14,1,10038
2018-06-14,10,7247
2018-06-14,20,6990
2018-06-14,50,6017
2018-06-14,100,5395
2018-06-21,1,10038
2018-06-21,10,7247
2018-06-21,20,6989
2018-06-21,50,6081
2018-06-21,100,5427
2018-06-28,1,10059
2018-06-28,10,7247
2018-06-28,20,6989
2018-06-28,50,6051
2018-06-28,100,5439
2018-07-05,1,10059
2018-07-05,10,7247
2018-07-05,20,6958
2018-07-05,50,6081
2018-07-05,100,5444
2018-07-12,1,10299
2018-07-12,10,7255
2018-07-12,20,6958
2018-07-12,50,6050
2018-07-12,100,5444
2018-07-19,1,10299
2018-07-19,10,7255
2018-07-19,20,6958
2018-07-19,50,6139
2018-07-19,100,5447
2018-07-26,1,10299
2018-07-26,10,7287
2018-07-26,20,6998
2018-07-26,50,6131
2018-07-26,100,5431
2018-08-02,1,10265
2018-08-02,10,7287
2018-08-02,20,6998
2018-08-02,50,6106
2018-08-02,100,5485
2018-08-09,1,10200
2018-08-09,10,7287
2018-08-09,20,6998
2018-08-09,50,6119
2018-08-09,100,5511
2018-08-16,1,10208
2018-08-16,10,7287
2018-08-16,20,6997
2018-08-16,50,6095
2018-08-16,100,5535
2018-08-23,1,10208
2018-08-23,10,7287
2018-08-23,20,6997
2018-08-23,50,6101
2018-08-23,100,5520
2018-08-30,1,10299
2018-08-30,10,7287
2018-08-30,20,7037
2018-08-30,50,6093
2018-08-30,100,5574
2018-08-31,1,10299
2018-08-31,10,7287
2018-08-31,20,7037
2018-08-31,50,6093
2018-08-31,100,5574
2018-09-06,1,10198
2018-09-06,10,7497
2018-09-06,20,7038
2018-09-06,50,6118
2018-09-06,100,5581
2018-09-13,1,10198
2018-09-13,10,7445
2018-09-13,20,7021
2018-09-13,50,6178
2018-09-13,100,5558
2018-09-20,1,10198
2018-09-20,10,7472
2018-09-20,20,7059
2018-09-20,50,6195
2018-09-20,100,5588
2018-09-27,1,10130
2018-09-27,10,7440
2018-09-27,20,6962
2018-09-27,50,6237
2018-09-27,100,5606
2018-10-04,1,10130
2018-10-04,10,7440
2018-10-04,20,6962
2018-10-04,50,6215
2018-10-04,100,5619
2018-10-11,1,10117
2018-10-11,10,7432
2018-10-11,20,6957
2018-10-11,50,6215
2018-10-11,100,5619
2018-10-18,1,10117
2018-10-18,10,7485
2018-10-18,20,6975
2018-10-18,50,6168
2018-10-18,100,5627
2018-10-25,1,10153
2018-10-25,10,7485
2018-10-25,20,6992
2018-10-25,50,6172
2018-10-25,100,5622
2018-11-01,1,9973
2018-11-01,10,7495
2018-11-01,20,6992
2018-11-01,50,6153
2018-11-01,100,5623
2018-11-08,1,9608
2018-11-08,10,7883
2018-11-08,20,7148
2018-11-08,50,6306
2018-11-08,100,5683
2018-11-15,1,9608
2018-11-15,10,7841
2018-11-15,20,7135
2018-11-15,50,6294
2018-11-15,100,5690
2018-11-22,1,9608
2018-11-22,10,7712
2018-11-22,20,7106
2018-11-22,50,6281
2018-11-22,100,5730
2018-11-29,1,9618
2018-11-29,10,7803
2018-11-29,20,7187
2018-11-29,50,6341
2018-11-29,100,5756
2018-12-06,1,9561
2018-12-06,10,7659
2018-12-06,20,7177
2018-12-06,50,6341
2018-12-06,100,5754
2018-12-13,1,9629
2018-12-13,10,7831
2018-12-13,20,7109
2018-12-13,50,6385
2018-12-13,100,5754
2018-12-20,1,9629
2018-12-20,10,7807
2018-12-20,20,7104
2018-12-20,50,6341
2018-12-20,100,5746
2018-12-27,1,9629
2018-12-27,10,7811
2018-12-27,20,7104
2018-12-27,50,6341
2018-12-27,100,5772
2019-01-03,1,9519
2019-01-03,10,7811
2019-01-03,20,7122
2019-01-03,50,6346
2019-01-03,100,5784
2019-01-10,1,9602
2019-01-10,10,7811
2019-01-10,20,7122
2019-01-10,50,6385
2019-01-10,100,5799
2019-01-17,1,9559
2019-01-17,10,7885
2019-01-17,20,7118
2019-01-17,50,6341
2019-01-17,100,5784
2019-01-24,1,9521
2019-01-24,10,7890
2019-01-24,20,7130
2019-01-24,50,6350
2019-01-24,100,5792
2019-01-31,1,9594
2019-01-31,10,7890
2019-01-31,20,7121
2019-01-31,50,6384
2019-01-31,100,5869
2019-02-07,1,9607
2019-02-07,10,7926
2019-02-07,20,7162
2019-02-07,50,6455
2019-02-07,100,5883
2019-02-14,1,9607
2019-02-14,10,7917
2019-02-14,20,7180
2019-02-14,50,6488
2019-02-14,100,5893
2019-02-21,1,9829
2019-02-21,10,7891
2019-02-21,20,7250
2019-02-21,50,6468
2019-02-21,100,5932
2019-02-28,1,9829
2019-02-28,10,7830
2019-02-28,20,7252
2019-02-28,50,6504
2019-02-28,100,5935
2019-03-07,1,9724
2019-03-07,10,7846
2019-03-07,20,7252
2019-03-07,50,6547
2019-03-07,100,5948
2019-03-14,1,9724
2019-03-14,10,7846
2019-03-14,20,7252
2019-03-14,50,6600
2019-03-14,100,5956
2019-03-21,1,9971
2019-03-21,10,7875
2019-03-21,20,7275
2019-03-21,50,6597
2019-03-21,100,5979
2019-03-28,1,9971
2019-03-28,10,7859
2019-03-28,20,7252
2019-03-28,50,6597
2019-03-28,100,5983
2019-04-04,1,9957
2019-04-04,10,7906
2019-04-04,20,7304
2019-04-04,50,6625
2019-04-04,100,5996
2019-04-11,1,9961
2019-04-11,10,7926
2019-04-11,20,7378
2019-04-11,50,6632
2019-04-11,100,6052
2019-04-18,1,9961
2019-04-18,10,7986
2019-04-18,20,7378
2019-04-18,50,6656
2019-04-18,100,6049
2019-04-25,1,9826
2019-04-25,10,7926
2019-04-25,20,7378
2019-04-25,50,6661
2019-04-25,100,6062
2019-05-02,1,9876
2019-05-02,10,7954
2019-05-02,20,7395
2019-05-02,50,6702
2019-05-02,100,6099
2019-05-09,1,9686
2019-05-09,10,7976
2019-05-09,20,7395
2019-05-09,50,6702
2019-05-09,100,6099
2019-05-16,1,9686
2019-05-16,10,7976
2019-05-16,20,7457
2019-05-16,50,6665
2019-05-16,100,6133
2019-05-23,1,9841
2019-05-23,10,8029
2019-05-23,20,7577
2019-05-23,50,6726
2019-05-23,100,6148
2019-05-30,1,9841
2019-05-30,10,8029
2019-05-30,20,7598
2019-05-30,50,6743
2019-05-30,100,6166
2019-06-06,1,9841
2019-06-06,10,8059
2019-06-06,20,7563
2019-06-06,50,6772
2019-06-06,100,6206
2019-06-13,1,9957
2019-06-13,10,8059
2019-06-13,20,7646
2019-06-13,50,6768
2019-06-13,100,6222
2019-06-20,1,9952
2019-06-20,10,8059
2019-06-20,20,7608
2019-06-20,50,6772
2019-06-20,100,6238
2019-06-27,1,9939
2019-06-27,10,8064
2019-06-27,20,7652
2019-06-27,50,6772
2019-06-27,100,6249
2019-07-04,1,9939
2019-07-04,10,8069
2019-07-04,20,7627
2019-07-04,50,6846
2019-07-04,100,6273
2019-07-11,1,9767
2019-07-11,10,8069
2019-07-11,20,7627
2019-07-11,50,6841
2019-07-11,100,6267
2019-07-18,1,9767
2019-07-18,10,8069
2019-07-18,20,7627
2019-07-18,50,6858
2019-07-18,100,6295
2019-07-25,1,9767
2019-07-25,10,8075
2019-07-25,20,7627
2019-07-25,50,6878
2019-07-25,100,6362
2019-08-01,1,9767
2019-08-01,10,8075
2019-08-01,20,7663
2019-08-01,50,6919
2019-08-01,100,6364
2019-08-08,1,9767
2019-08-08,10,8075
2019-08-08,20,7650
2019-08-08,50,6972
2019-08-08,100,6364
2019-08-15,1,9694
2019-08-15,10,8069
2019-08-15,20,7627
2019-08-15,50,6972
2019-08-15,100,6391
2019-08-22,1,9694
2019-08-22,10,8069
2019-08-22,20,7705
2019-08-22,50,6995
2019-08-22,100,6410
2019-08-29,1,9809
2019-08-29,10,8176
2019-08-29,20,7857
2019-08-29,50,7007
2019-08-29,100,6456
2019-08-30,1,9809
2019-08-30,10,8176
2019-08-30,20,7857
2019-08-30,50,7007
2019-08-30,100,6456
2019-09-05,1,9864
2019-09-05,10,8176
2019-09-05,20,7819
